MessageID,Subject,Message,Spam/Ham,Date
100,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2014-04-11
101,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2013-01-11
102,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2023-08-09
103,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2016-09-19
104,Claim your free prize,Act now to secure your discount before it expires.,spam,2025-01-24
105,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2017-07-19
106,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2011-01-15
107,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2017-10-09
108,Claim your free prize,Act now to secure your discount before it expires.,spam,2019-04-18
109,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2018-01-06
110,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2018-12-06
111,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2013-01-19
112,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2024-03-07
113,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2021-03-18
114,Hot singles in your area,Act now to secure your discount before it expires.,spam,2015-11-22
115,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2023-02-20
116,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2010-11-10
117,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2024-02-13
118,Claim your free prize,Act now to secure your discount before it expires.,spam,2012-06-22
119,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2017-07-05
120,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2013-02-23
121,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2018-08-30
122,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2016-11-28
123,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2019-03-18
124,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2013-09-24
125,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2016-09-25
126,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2019-11-17
127,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2010-07-03
128,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2010-01-09
129,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2018-11-14
130,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2011-07-25
131,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2015-10-05
132,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-04-26
133,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-11-26
134,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-06-27
135,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2021-08-02
136,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2024-06-26
137,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2023-08-29
138,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2021-12-10
139,Claim your free prize,Act now to secure your discount before it expires.,spam,2012-02-18
140,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2024-07-17
141,Hot singles in your area,Act now to secure your discount before it expires.,spam,2024-10-10
142,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2013-01-01
143,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2024-09-30
144,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2023-05-16
145,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2013-10-19
146,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2014-08-17
147,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2010-07-27
148,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-09-05
149,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2021-03-09
150,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2024-07-20
151,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2014-12-26
152,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2011-10-05
153,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2023-01-30
154,Win a $1000 gift card now!,Act now to secure your discount before it expires.,spam,2015-08-20
155,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2015-12-16
156,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2013-01-08
157,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-02-23
158,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-11-19
159,Hot singles in your area,Act now to secure your discount before it expires.,spam,2015-11-17
160,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2016-04-28
161,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2010-07-23
162,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2012-11-30
163,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2022-02-10
164,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2017-08-11
165,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2014-03-25
166,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2024-04-30
167,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2014-01-20
168,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2019-06-09
169,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2023-09-24
170,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2023-11-26
171,Hot singles in your area,Act now to secure your discount before it expires.,spam,2018-02-26
172,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2015-03-04
173,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2018-08-28
174,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-05-19
175,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2010-05-02
176,Hot singles in your area,Act now to secure your discount before it expires.,spam,2018-02-16
177,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2022-08-11
178,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2021-01-24
179,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2018-05-23
180,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2021-06-09
181,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2020-06-12
182,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2022-02-16
183,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2010-07-29
184,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2017-09-25
185,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-03-13
186,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-05-17
187,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2010-03-27
188,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2012-03-23
189,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2013-01-23
190,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2023-08-03
191,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2020-09-17
192,Claim your free prize,Act now to secure your discount before it expires.,spam,2025-05-07
193,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2015-11-07
194,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2010-01-30
195,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2011-06-26
196,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2022-08-19
197,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2014-05-29
198,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2013-07-09
199,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-06-05
200,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-07-02
201,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2021-12-23
202,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2023-09-23
203,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2024-11-12
204,Claim your free prize,Act now to secure your discount before it expires.,spam,2024-02-15
205,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2011-04-27
206,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2017-03-20
207,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2014-04-24
208,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2012-03-21
209,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2015-02-08
210,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-08-06
211,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2014-10-27
212,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2012-08-14
213,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2011-01-25
214,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2014-01-16
215,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2025-07-15
216,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2019-10-02
217,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2010-07-30
218,Win a $1000 gift card now!,Act now to secure your discount before it expires.,spam,2024-06-15
219,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2021-10-01
220,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2011-04-19
221,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2012-02-11
222,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2016-03-17
223,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2022-04-23
224,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2018-04-07
225,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2015-08-18
226,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2020-11-17
227,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-05-20
228,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2018-03-01
229,Claim your free prize,Act now to secure your discount before it expires.,spam,2022-02-21
230,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2020-10-13
231,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2011-08-13
232,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2013-10-24
233,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2010-12-24
234,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2021-02-22
235,Hot singles in your area,Act now to secure your discount before it expires.,spam,2014-12-14
236,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2010-02-13
237,Hot singles in your area,You have been selected for a special reward. Provide your details.,spam,2010-08-18
238,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2020-01-30
239,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2013-06-17
240,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2024-11-05
241,Hot singles in your area,Exclusive deal just for you. Visit our site to learn more.,spam,2019-02-26
242,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2021-03-04
243,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2017-12-04
244,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2020-11-13
245,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2025-03-29
246,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2022-11-02
247,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2015-07-13
248,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2018-04-03
249,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2011-08-30
250,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2022-05-23
251,Win a $1000 gift card now!,Act now to secure your discount before it expires.,spam,2014-06-13
252,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2019-12-24
253,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2014-04-04
254,Hot singles in your area,Act now to secure your discount before it expires.,spam,2021-09-09
255,Claim your free prize,Act now to secure your discount before it expires.,spam,2019-02-21
256,Hot singles in your area,Exclusive deal just for you. Visit our site to learn more.,spam,2020-08-11
257,Hot singles in your area,Act now to secure your discount before it expires.,spam,2016-07-02
258,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2011-12-09
259,Hot singles in your area,Act now to secure your discount before it expires.,spam,2021-08-26
260,Claim your free prize,Act now to secure your discount before it expires.,spam,2011-08-12
261,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2021-08-06
262,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2019-11-05
263,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2015-02-19
264,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2024-08-20
265,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2011-11-30
266,"Limited time offer, act now!",Act now to secure your discount before it expires.,spam,2011-04-26
267,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2010-07-29
268,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2020-01-10
269,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2021-03-10
270,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2023-08-15
271,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2024-12-30
272,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2019-01-10
273,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2015-10-01
274,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-10-05
275,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2024-08-09
276,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2010-02-24
277,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2020-12-27
278,Hot singles in your area,Act now to secure your discount before it expires.,spam,2023-09-29
279,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2025-03-28
280,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2018-01-10
281,Claim your free prize,Act now to secure your discount before it expires.,spam,2022-12-25
282,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2011-01-27
283,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2024-05-30
284,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2016-10-01
285,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2010-08-18
286,Claim your free prize,This is not a scam! Get your free gift card today.,spam,2014-10-07
287,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2018-11-03
288,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2016-02-11
289,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2018-01-03
290,Hot singles in your area,Exclusive deal just for you. Visit our site to learn more.,spam,2011-09-19
291,Win a $1000 gift card now!,This is not a scam! Get your free gift card today.,spam,2014-09-07
292,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2024-04-26
293,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-06-07
294,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2021-05-23
295,"Limited time offer, act now!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2012-04-13
296,Win a $1000 gift card now!,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2022-03-06
297,Win a $1000 gift card now!,Act now to secure your discount before it expires.,spam,2014-02-03
298,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2014-05-23
299,Win a $1000 gift card now!,Exclusive deal just for you. Visit our site to learn more.,spam,2018-03-04
300,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2015-02-11
301,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2021-03-28
302,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2010-10-10
303,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2016-01-17
304,"Congratulations, you've been selected!",Exclusive deal just for you. Visit our site to learn more.,spam,2015-04-12
305,"Congratulations, you've been selected!",Act now to secure your discount before it expires.,spam,2014-08-03
306,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2012-02-11
307,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2015-05-16
308,"Limited time offer, act now!",This is not a scam! Get your free gift card today.,spam,2024-06-05
309,Hot singles in your area,Act now to secure your discount before it expires.,spam,2015-02-25
310,"Congratulations, you've been selected!",You have been selected for a special reward. Provide your details.,spam,2014-08-22
311,Win a $1000 gift card now!,You have been selected for a special reward. Provide your details.,spam,2013-10-07
312,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2013-08-09
313,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2020-02-07
314,"Limited time offer, act now!",You have been selected for a special reward. Provide your details.,spam,2012-03-21
315,Hot singles in your area,Act now to secure your discount before it expires.,spam,2012-08-03
316,"Congratulations, you've been selected!","Dear user, you have won a lottery. Click here to claim your prize.",spam,2023-10-19
317,Claim your free prize,Act now to secure your discount before it expires.,spam,2011-09-09
318,"Congratulations, you've been selected!",This is not a scam! Get your free gift card today.,spam,2010-08-02
319,Hot singles in your area,This is not a scam! Get your free gift card today.,spam,2024-05-08
320,Claim your free prize,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2010-02-11
321,Claim your free prize,You have been selected for a special reward. Provide your details.,spam,2011-09-14
322,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2022-10-25
323,"Limited time offer, act now!",Exclusive deal just for you. Visit our site to learn more.,spam,2012-01-06
324,Claim your free prize,Exclusive deal just for you. Visit our site to learn more.,spam,2010-08-26
325,Hot singles in your area,"Dear user, you have won a lottery. Click here to claim your prize.",spam,2011-05-26
